trajectory	surrogate_index	full_sscs_lz76_nats_per_second	lz76_phrase_count
1	1	0.260391855763	374
1	2	0.261088090671	375
1	3	0.258999385946	372
1	4	0.256214446312	368
1	5	0.256214446312	368
1	6	0.259695620854	373
1	7	0.258303151037	371
1	8	0.258999385946	372
1	9	0.258303151037	371
1	10	0.257606916129	370
1	11	0.256214446312	368
1	12	0.257606916129	370
1	13	0.258303151037	371
1	14	0.258303151037	371
1	15	0.257606916129	370
1	16	0.258303151037	371
1	17	0.258303151037	371
1	18	0.258999385946	372
1	19	0.25691068122	369
1	20	0.256214446312	368
1	21	0.260391855763	374
1	22	0.25691068122	369
1	23	0.260391855763	374
1	24	0.254821976495	366
1	25	0.258999385946	372
1	26	0.257606916129	370
1	27	0.259695620854	373
1	28	0.255518211404	367
1	29	0.254125741587	365
1	30	0.257606916129	370
1	31	0.257606916129	370
1	32	0.25691068122	369
1	33	0.254125741587	365
1	34	0.255518211404	367
1	35	0.25691068122	369
1	36	0.258303151037	371
1	37	0.256214446312	368
1	38	0.257606916129	370
1	39	0.257606916129	370
1	40	0.259695620854	373
1	41	0.259695620854	373
1	42	0.258999385946	372
1	43	0.254821976495	366
1	44	0.260391855763	374
1	45	0.257606916129	370
1	46	0.259695620854	373
1	47	0.256214446312	368
1	48	0.258999385946	372
1	49	0.25691068122	369
1	50	0.258999385946	372
1	51	0.256214446312	368
1	52	0.254125741587	365
1	53	0.257606916129	370
1	54	0.256214446312	368
1	55	0.256214446312	368
1	56	0.258303151037	371
1	57	0.258999385946	372
1	58	0.256214446312	368
1	59	0.259695620854	373
1	60	0.258999385946	372
1	61	0.261088090671	375
1	62	0.257606916129	370
1	63	0.255518211404	367
1	64	0.256214446312	368
1	65	0.255518211404	367
1	66	0.255518211404	367
1	67	0.257606916129	370
1	68	0.256214446312	368
1	69	0.255518211404	367
1	70	0.256214446312	368
1	71	0.25273327177	363
1	72	0.259695620854	373
1	73	0.258999385946	372
1	74	0.261088090671	375
1	75	0.254125741587	365
1	76	0.256214446312	368
1	77	0.255518211404	367
1	78	0.25691068122	369
1	79	0.256214446312	368
1	80	0.259695620854	373
1	81	0.258303151037	371
1	82	0.255518211404	367
1	83	0.259695620854	373
1	84	0.257606916129	370
1	85	0.255518211404	367
1	86	0.258303151037	371
1	87	0.257606916129	370
1	88	0.258303151037	371
1	89	0.260391855763	374
1	90	0.259695620854	373
1	91	0.259695620854	373
1	92	0.258999385946	372
1	93	0.258303151037	371
1	94	0.258999385946	372
1	95	0.259695620854	373
1	96	0.26178432558	376
1	97	0.258303151037	371
1	98	0.25691068122	369
1	99	0.259695620854	373
1	100	0.256214446312	368
1	101	0.256214446312	368
1	102	0.256214446312	368
1	103	0.258999385946	372
1	104	0.259695620854	373
1	105	0.25691068122	369
1	106	0.25691068122	369
1	107	0.255518211404	367
1	108	0.25691068122	369
1	109	0.257606916129	370
1	110	0.25691068122	369
1	111	0.258999385946	372
1	112	0.25691068122	369
1	113	0.254125741587	365
1	114	0.258303151037	371
1	115	0.257606916129	370
1	116	0.258999385946	372
1	117	0.256214446312	368
1	118	0.258303151037	371
1	119	0.256214446312	368
1	120	0.258303151037	371
1	121	0.256214446312	368
1	122	0.25691068122	369
1	123	0.25691068122	369
1	124	0.259695620854	373
1	125	0.257606916129	370
1	126	0.259695620854	373
1	127	0.260391855763	374
1	128	0.259695620854	373
1	129	0.25691068122	369
1	130	0.258999385946	372
